labels,values,title,value_heading
"['reach', 'favor', 'ocean']","[-2, 9, -4]",Title,Values
"['cut', 'bank', 'nation', 'grave', 'ring']","[90, 40, 30, 30, 50]",Most preferred objects,Percent of People
"['man', 'pile', 'source', 'blonde', 'uncle', 'impact']","[90, 40, 40, 50, 70, 60]",Title,Values
"['glass', 'worry', 'talk', 'joke', 'cat', 'beer', 'ice']","[70, 90, 80, 10, 60, 60, 60]",Accuracy of different algorithms,Accuracy
"['brain', 'wall']","[7, 4]",Accuracy of different algorithms,Accuracy
"['anyone', 'parlor', 'means']","[9, 1, 2]",Most preferred objects,Number of People
"['pocket', 'merger', 'farm', 'bunk', 'dozen', 'ease']","[3, 3, 2, 4, 1, 3]",Accuracy of different algorithms,Accuracy
"['vice', 'smoke']","[50, 30]",Accuracy of different algorithms,Accuracy
"['life', 'denial', 'color', 'mean']","[2, -9, 5, 4]",Title,Values
"['effort', 'look', 'latter', 'glass']","[6, 8, 6, 5]",Most preferred objects,Number of People
"['cash', 'dance', 'aid']","[20, 70, 70]",Title,Values
"['basis', 'remark', 'bag', 'weight']","[2, 7, 9, 3]",Accuracy of different algorithms,Accuracy
"['island', 'son', 'burden']","[1, 1, 8]",Sales statistics for different items,Units sold
"['child', 'bomb', 'actor', 'coat', 'label', 'good']","[3, 5, 1, 6, 1, 5]",Most preferred objects,Number of People
"['fly', 'craft', 'steel']","[4, 2, 6]",Accuracy of different algorithms,Accuracy
"['dining', 'writer', 'vice']","[2, 7, 8]",Title,Values
"['moment', 'column', 'knee', 'twenty', 'cross', 'driver', 'person']","[5, 4, 5, 5, 1, 5, 4]",Most preferred objects,Number of People
"['art', 'frame', 'judge', 'plenty', 'rice', 'east']","[8, 7, 5, 7, 1, 3]",Accuracy of different algorithms,Accuracy
"['word', 'shop', 'author', 'brief', 'order', 'tissue', 'art', 'bridge']","[30, 90, 90, 80, 80, 80, 70, 20]",Title,Values
"['walk', 'sky', 'parade', 'arm', 'skin', 'pilot', 'status']","[5, 5, 1, 6, 9, 8, 5]",Title,Values
"['pain', 'regard', 'crime']","[2, 3, 8]",Sales statistics for different items,Units sold
"['fuel', 'buffer', 'object']","[1, 7, 5]",Sales statistics for different items,Units sold
"['hero', 'past', 'means', 'group', 'yield', 'chest']","[1, 2, 3, 1, 3, 4]",Accuracy of different algorithms,Accuracy
"['system', 'cool', 'origin']","[6, 8, 5]",Sales statistics for different items,Units sold
"['worth', 'canvas', 'cent', 'reason', 'smile', 'stress', 'basis']","[30, 20, 90, 0, 10, 0, 80]",Accuracy of different algorithms,Accuracy
"['demand', 'profit', 'hero', 'use', 'guide']","[1, 9, 3, 9, 8]",Sales statistics for different items,Units sold
"['bit', 'sweat', 'truck', 'valley', 'return', 'motor']","[4, 8, 6, 8, 7, 9]",Sales statistics for different items,Units sold
"['bed', 'pain']","[8, 4]",Sales statistics for different items,Units sold
"['name', 'ice', 'hero', 'arc', 'object', 'gift']","[1, 7, 2, 5, 8, 6]",Title,Values
"['lunch', 'anode']","[8, 7]",Title,Values
"['chip', 'event', 'poet']","[6, 4, 8]",Accuracy of different algorithms,Accuracy
"['method', 'object', 'ratio']","[90, 10, 20]",Title,Values
"['call', 'clouds', 'brush', 'ocean']","[5, 6, 7, 6]",Most preferred objects,Number of People
"['coffee', 'act', 'source', 'paint', 'coach', 'shop']","[3, 6, 0, 0, 0, 7]",Title,Values
"['tray', 'hand', 'paint', 'root', 'plain', 'legs']","[5, 8, 1, 9, 9, 3]",Sales statistics for different items,Units sold
"['phone', 'guitar', 'farm', 'battle', 'plant', 'garage', 'enemy', 'cabin', 'voting']","[6, 3, 2, 1, 1, 9, 8, 9, 8]",Sales statistics for different items,Units sold
"['impact', 'drop', 'liquid', 'front', 'extent']","[50, 80, 80, 50, 20]",Accuracy of different algorithms,Accuracy
"['wine', 'lobby', 'post', 'look', 'circle', 'snake']","[40, 30, 30, 50, 20, 20]",Most preferred objects,Percent of People
"['week', 'knee', 'drop', 'strip', 'appeal', 'angle', 'strike']","[40, 80, 90, 20, 70, 40, 90]",Accuracy of different algorithms,Accuracy
"['firm', 'combat', 'wealth']","[9, 6, 9]",Title,Values
"['health', 'barn', 'gate', 'honor', 'doctor']","[30, 50, 10, 30, 80]",Accuracy of different algorithms,Accuracy
"['figure', 'valley']","[40, 60]",Accuracy of different algorithms,Accuracy
"['crew', 'book', 'area', 'route', 'temple']","[6, 9, 4, 6, 7]",Sales statistics for different items,Units sold
"['cast', 'remark', 'bus', 'cry', 'bond', 'ring', 'belief', 'gold', 'door']","[90, 70, 80, 80, 60, 80, 40, 80, 50]",Accuracy of different algorithms,Accuracy
"['act', 'tube', 'voting']","[4, 1, 3]",Accuracy of different algorithms,Accuracy
"['whole', 'tour']","[4, -6]",Title,Values
"['cellar', 'show', 'dance', 'trust', 'proof', 'blue']","[1, 5, 6, 7, 4, 7]",Accuracy of different algorithms,Accuracy
"['wash', 'job', 'diet', 'glass', 'canvas', 'stick']","[9, 3, 8, 1, 5, 6]",Sales statistics for different items,Units sold
"['loan', 'female', 'survey', 'youth', 'folk']","[2, 9, 2, 2, 9]",Accuracy of different algorithms,Accuracy
"['twenty', 'shadow', 'strike', 'autumn']","[3, 5, 1, 9]",Title,Values
"['widow', 'county', 'report', 'rain', 'pond', 'goal']","[-7, 7, 1, 5, 6, 6]",Title,Values
"['taxi', 'post', 'story']","[7, 2, 7]",Most preferred objects,Number of People
"['child', 'glass', 'male']","[3, 4, 2]",Title,Values
"['enemy', 'soil', 'proof', 'suit', 'plain']","[40, 70, 80, 70, 60]",Most preferred objects,Percent of People
"['foot', 'joke', 'group']","[1, 6, 3]",Accuracy of different algorithms,Accuracy
"['duty', 'gold']","[2, 1]",Title,Values
"['desire', 'dance']","[2, 9]",Accuracy of different algorithms,Accuracy
"['day', 'food', 'rule', 'part', 'parlor']","[1, 5, 2, 8, 9]",Accuracy of different algorithms,Accuracy
"['radio', 'army', 'mean']","[20, 50, 80]",Accuracy of different algorithms,Accuracy
"['health', 'pencil']","[5, 3]",Accuracy of different algorithms,Accuracy
"['gay', 'move']","[2, 7]",Most preferred objects,Number of People
"['mail', 'angle', 'prayer', 'valley']","[6, 4, 9, 7]",Sales statistics for different items,Units sold
"['travel', 'cover', 'heard', 'horror', 'hero']","[9, 7, 4, 1, 9]",Sales statistics for different items,Units sold
"['serum', 'autumn', 'safety', 'judge']","[0, 90, 10, 70]",Accuracy of different algorithms,Accuracy
"['source', 'radio', 'voting', 'lot', 'dance', 'chip', 'injury']","[0, 4, 8, 1, 9, 2, 6]",Title,Values
"['piano', 'phrase']","[4, 3]",Accuracy of different algorithms,Accuracy
"['graph', 'gain']","[1, 8]",Most preferred objects,Number of People
"['back', 'temple', 'tape']","[2, 8, 1]",Title,Values
"['youth', 'result', 'fluid', 'boy']","[20, 90, 10, 70]",Most preferred objects,Percent of People
"['pitch', 'left', 'scope', 'plug', 'rice']","[5, 5, 2, 2, 4]",Most preferred objects,Number of People
"['line', 'hold', 'trip', 'barn', 'luck', 'stop']","[8, 5, 8, 2, 5, 7]",Accuracy of different algorithms,Accuracy
"['market', 'stuff', 'sauce', 'bridge', 'figure', 'mine']","[3, 1, 8, 1, 2, 9]",Title,Values
"['cat', 'vector']","[4, 4]",Sales statistics for different items,Units sold
"['boat', 'thirty', 'lot', 'excuse', 'scale', 'view', 'grade']","[1, 4, 7, 1, 5, 5, 2]",Title,Values
"['mold', 'terror', 'hole', 'bomb']","[1, 3, 9, 1]",Title,Values
"['pack', 'safety', 'beat', 'cloud']","[7, 2, 5, 1]",Sales statistics for different items,Units sold
"['flood', 'thing', 'aspect', 'eye', 'data', 'left']","[10, 40, 20, 20, 50, 80]",Most preferred objects,Percent of People
"['radar', 'coffee']","[70, 30]",Accuracy of different algorithms,Accuracy
"['army', 'hell', 'medium', 'stem', 'sera', 'ballet', 'bar', 'member']","[8, 4, 5, 2, 9, 8, 3, 6]",Sales statistics for different items,Units sold
"['skirt', 'terror', 'answer', 'life', 'gate', 'ball', 'tip', 'slave', 'use']","[30, 20, 40, 80, 40, 40, 40, 40, 20]",Title,Values
"['whole', 'panic', 'serum', 'season', 'ballet']","[1, 8, 2, 6, 7]",Most preferred objects,Number of People
"['coach', 'glass', 'rain', 'pipe', 'wall']","[50, 20, 20, 40, 50]",Most preferred objects,Percent of People
"['set', 'doubt', 'writer', 'plate', 'dozen']","[10, 10, 100, 1000000, 100000]",Title,Values
"['reply', 'code']","[9, 6]",Most preferred objects,Number of People
"['wealth', 'boat', 'parlor', 'claim', 'master', 'reply']","[10, 10, 80, 90, 70, 90]",Most preferred objects,Percent of People
"['drop', 'award', 'bone', 'sport', 'marine', 'thirty']","[50, 80, 60, 40, 20, 70]",Title,Values
"['stop', 'idea']","[9, 5]",Most preferred objects,Number of People
"['result', 'gas', 'bath']","[4, 5, 4]",Title,Values
"['whisky', 'list', 'term', 'strike', 'east', 'total', 'fluid', 'stress', 'hay']","[3, 3, 1, 8, 9, 6, 5, 3, 2]",Title,Values
"['pain', 'ride', 'habit', 'space']","[3, 1, -8, 5]",Title,Values
"['trial', 'act', 'beard', 'coal', 'attack', 'crash']","[5, 1, 5, 5, 5, 1]",Sales statistics for different items,Units sold
"['sphere', 'event']","[70, 90]",Most preferred objects,Percent of People
"['text', 'pause', 'nose', 'beard', 'heart', 'drug', 'outfit']","[9, 5, 9, 9, 6, 6, 4]",Sales statistics for different items,Units sold
"['fall', 'frame', 'till', 'dirt', 'means', 'clay']","[30, 70, 30, 90, 10, 70]",Accuracy of different algorithms,Accuracy
"['row', 'foam', 'gay', 'mess', 'field', 'shirt']","[0, 4, 7, 4, 7, 0]",Title,Values
"['sale', 'amount', 'rise']","[60, 40, 60]",Accuracy of different algorithms,Accuracy
"['soul', 'humor', 'chorus']","[10, 80, 50]",Accuracy of different algorithms,Accuracy
"['harbor', 'jail', 'game', 'motel', 'gun', 'total']","[60, 60, 90, 90, 10, 40]",Title,Values
"['lady', 'wealth', 'host', 'mud', 'night']","[3, 5, 5, 8, 7]",Sales statistics for different items,Units sold
"['beat', 'budget', 'party', 'rage', 'ocean', 'health']","[4, 3, 1, 7, 1, 6]",Most preferred objects,Number of People
"['bent', 'wise', 'reader', 'show']","[1, 1, 7, 9]",Most preferred objects,Number of People
"['money', 'skill', 'ten', 'desk', 'motor', 'ice']","[3, 2, 6, 7, 3, 7]",Most preferred objects,Number of People
"['iron', 'police']","[2, 1]",Sales statistics for different items,Units sold
"['skirt', 'signal', 'poet', 'name']","[2, 3, 4, 6]",Sales statistics for different items,Units sold
"['stone', 'court', 'sex']","[2, 8, 8]",Most preferred objects,Number of People
"['score', 'motel', 'break', 'plate', 'fury', 'suite']","[5, 6, 2, 2, 8, 4]",Accuracy of different algorithms,Accuracy
"['clay', 'fluid', 'vector', 'basis', 'past', 'relief']","[4, 8, 2, 8, 5, 2]",Accuracy of different algorithms,Accuracy
"['back', 'team', 'wood', 'pitch', 'corps']","[5, 8, 0, 9, 7]",Title,Values
"['report', 'smell', 'spite', 'plenty']","[6, 1, 1, 7]",Most preferred objects,Number of People
"['earth', 'feel', 'habit', 'noon', 'sense']","[7, 2, 7, 2, 7]",Most preferred objects,Number of People
"['number', 'county', 'curve']","[9, 8, 8]",Most preferred objects,Number of People
"['root', 'sugar', 'rail', 'vector', 'drift', 'sense', 'plug', 'height']","[5, 5, 5, 5, 3, 0, 9, 9]",Title,Values
"['tongue', 'beam', 'wine', 'escape', 'autumn']","[3, 7, 6, 9, 2]",Sales statistics for different items,Units sold
"['glory', 'forth', 'shell', 'weight', 'doubt', 'month', 'injury', 'midst', 'shape']","[1, 4, 4, 8, 2, 8, 3, 6, 5]",Sales statistics for different items,Units sold
"['gas', 'canvas', 'jaw', 'diet', 'plate', 'pot', 'card']","[40, 70, 40, 60, 40, 20, 60]",Accuracy of different algorithms,Accuracy
"['brush', 'power']","[8, 5]",Title,Values
"['faint', 'wheel', 'knee']","[50, 70, 40]",Most preferred objects,Percent of People
"['handle', 'voyage', 'stuff']","[60, 70, 90]",Most preferred objects,Percent of People
"['stream', 'answer', 'garden', 'threat', 'soul', 'twenty']","[2, 5, 5, 7, 3, 1]",Accuracy of different algorithms,Accuracy
"['wisdom', 'man', 'island', 'bed']","[6, 6, 1, 8]",Title,Values
"['sin', 'piano', 'cancer', 'vertex']","[1, 9, 6, 7]",Sales statistics for different items,Units sold
"['grace', 'hole', 'foam', 'mood', 'labor', 'close']","[9, 5, 1, 6, 4, 0]",Title,Values
"['rule', 'fun', 'expert', 'fan']","[2, 1, 2, 4]",Accuracy of different algorithms,Accuracy
"['handle', 'well', 'rhythm', 'glance', 'cannot', 'savage', 'doubt', 'value']","[2, 2, 7, 2, 8, 4, 3, 5]",Title,Values
"['adult', 'game', 'cloth', 'fault', 'detail', 'move', 'glance', 'neck']","[7, -9, 4, 6, 1, 2, -9, -7]",Title,Values
"['flesh', 'image', 'gang']","[5, 1, 9]",Accuracy of different algorithms,Accuracy
"['female', 'fate', 'lock']","[20, 30, 10]",Accuracy of different algorithms,Accuracy
"['outfit', 'ease', 'jury', 'day']","[8, 7, 8, 1]",Accuracy of different algorithms,Accuracy
"['drift', 'roof', 'coast', 'weight', 'plate', 'trap', 'lap', 'boat', 'graph']","[1, 7, 8, 1, 7, 6, 7, 1, 6]",Accuracy of different algorithms,Accuracy
"['till', 'rifle', 'comedy', 'lamp']","[7, 3, 6, 2]",Accuracy of different algorithms,Accuracy
"['vein', 'editor', 'seat', 'value']","[80, 60, 60, 70]",Accuracy of different algorithms,Accuracy
"['house', 'base']","[2, 1]",Most preferred objects,Number of People
"['baby', 'cloud', 'wife', 'sale', 'voice', 'shade', 'length']","[4, 2, 4, 6, 6, 6, 3]",Accuracy of different algorithms,Accuracy
"['colony', 'leader', 'bottle', 'clouds', 'cash', 'care', 'artery', 'chance', 'sorry']","[80, 70, 40, 80, 50, 20, 60, 70, 30]",Accuracy of different algorithms,Accuracy
"['block', 'sea', 'lamp']","[3, 1, 4]",Most preferred objects,Number of People
"['sake', 'myth', 'law', 'wash', 'stake', 'train', 'cellar', 'flight']","[9, 4, 1, 4, 8, 4, 8, 9]",Sales statistics for different items,Units sold
"['player', 'coffee', 'bulk', 'today', 'trade', 'charm', 'vacuum']","[-6, 2, 2, 4, 1, 2, -8]",Title,Values
"['rain', 'view', 'place']","[90, 60, 70]",Title,Values
"['battle', 'wound', 'family']","[8, 9, 7]",Sales statistics for different items,Units sold
"['sheet', 'supply', 'drop', 'mature', 'dollar', 'poetry']","[20, 50, 0, 40, 0, 90]",Accuracy of different algorithms,Accuracy
"['bureau', 'coast', 'jazz', 'bit', 'drop']","[6, 6, 9, 2, 8]",Title,Values
"['engine', 'amount', 'deck', 'pile']","[90, 30, 60, 70]",Accuracy of different algorithms,Accuracy
"['kid', 'affair', 'coach']","[6, 1, 4]",Sales statistics for different items,Units sold
"['spring', 'round', 'merger', 'corn', 'joy', 'week']","[40, 50, 40, 20, 60, 70]",Title,Values
"['target', 'peace']","[100000000, 100000000]",Title,Values
"['sheet', 'wealth']","[3, 9]",Sales statistics for different items,Units sold
"['appeal', 'coach', 'melody', 'road']","[9, 6, 8, 3]",Most preferred objects,Number of People
"['reason', 'pool', 'plant', 'roof', 'gold', 'battle', 'wage']","[-6, 2, 2, 6, 5, 2, 8]",Title,Values
"['route', 'eye', 'floor', 'track', 'knee', 'advice', 'outfit']","[6, 1, 2, 4, 3, 5, 9]",Sales statistics for different items,Units sold
"['case', 'air', 'door', 'nation', 'crop', 'rule', 'charge']","[5, 7, 1, 6, 5, 5, 5]",Most preferred objects,Number of People
"['beer', 'suit', 'guilt', 'jar', 'hell', 'south']","[4, 1, 9, 9, 9, 4]",Sales statistics for different items,Units sold
"['regime', 'model']","[2, 3]",Most preferred objects,Number of People
"['autumn', 'theme', 'weapon', 'battle']","[5, 9, 1, 6]",Sales statistics for different items,Units sold
"['rank', 'model', 'mouth']","[4, 9, 7]",Most preferred objects,Number of People
"['snow', 'means', 'cancer', 'head', 'price', 'remark']","[4, 9, 9, 2, 3, 6]",Sales statistics for different items,Units sold
"['affair', 'fury']","[100, 100]",Title,Values
"['vice', 'garage', 'camera', 'cent']","[10, 40, 40, 80]",Accuracy of different algorithms,Accuracy
"['head', 'cover']","[4, 7]",Sales statistics for different items,Units sold
"['vertex', 'foot']","[10, 90]",Most preferred objects,Percent of People
"['test', 'event', 'tube', 'bundle', 'dance', 'island', 'client']","[6, 6, 8, 2, 1, 5, 7]",Accuracy of different algorithms,Accuracy
"['cellar', 'camera']","[6, 4]",Sales statistics for different items,Units sold
"['wagon', 'mud']","[9, 7]",Title,Values
"['ground', 'extent', 'tale', 'hair', 'weapon']","[7, 5, 5, 6, 3]",Title,Values
"['rain', 'aid', 'point']","[6, 8, 6]",Title,Values
"['grace', 'sand', 'army']","[70, 90, 40]",Accuracy of different algorithms,Accuracy
"['plant', 'eye', 'front', 'girl', 'record']","[70, 80, 0, 20, 70]",Most preferred objects,Percent of People
"['girl', 'comedy', 'force', 'beauty', 'seat']","[9, 6, 4, 2, 3]",Most preferred objects,Number of People
"['cast', 'man', 'phone', 'trail', 'damage', 'queen', 'wife']","[50, 30, 60, 10, 80, 40, 20]",Most preferred objects,Percent of People
"['block', 'patent', 'return', 'speed', 'task', 'skirt', 'adult', 'era']","[6, 6, 2, 3, 7, 3, 1, 3]",Title,Values
"['error', 'focus', 'owner', 'crop', 'brand']","[4, 8, 5, 7, 6]",Sales statistics for different items,Units sold
"['critic', 'affair', 'series', 'hay', 'drift', 'roof', 'access']","[6, 3, 5, 6, 5, 6, 8]",Sales statistics for different items,Units sold
"['cap', 'blonde', 'cut']","[7, 4, 4]",Title,Values
"['artist', 'coal', 'sheet', 'clock', 'plug']","[5, 3, 9, 3, 3]",Accuracy of different algorithms,Accuracy
"['gun', 'random', 'dive', 'label']","[7, 6, 5, 3]",Accuracy of different algorithms,Accuracy
"['jazz', 'party', 'chip']","[0, 1, 4]",Title,Values
"['boat', 'clay']","[20, 50]",Title,Values
"['cell', 'entry', 'drop', 'site', 'master']","[-9, 7, -2, 7, 9]",Title,Values
"['job', 'owner', 'scale', 'weight']","[4, 1, 1, 8]",Title,Values
"['help', 'luxury', 'poem', 'tour', 'hung', 'lot', 'fence']","[0, 10, 50, 0, 90, 90, 80]",Most preferred objects,Percent of People
"['labor', 'sign', 'cross', 'access', 'court']","[4, 2, 8, 9, 3]",Title,Values
"['shade', 'dive', 'pair', 'scale', 'way', 'feel', 'rush']","[7, 3, 8, 9, 8, 3, 7]",Accuracy of different algorithms,Accuracy
"['home', 'spirit', 'theme']","[50, 30, 10]",Most preferred objects,Percent of People
"['length', 'means', 'throat', 'suite', 'world', 'answer']","[40, 40, 20, 40, 20, 20]",Title,Values
"['pay', 'faith']","[6, 5]",Title,Values
"['suite', 'site', 'trade', 'opera', 'suit', 'grain']","[7, 2, 4, 6, 6, 1]",Title,Values
"['row', 'staff', 'beam', 'nose', 'stroke']","[9, 5, 1, 5, 3]",Title,Values
"['hair', 'dust', 'heart', 'rock']","[9, 6, 7, 1]",Title,Values
"['anyone', 'hand', 'help', 'word', 'area', 'label']","[6, 4, 1, 2, 6, 8]",Most preferred objects,Number of People
"['period', 'god', 'rock', 'sin', 'coast', 'test']","[2, 4, 1, 6, 2, 4]",Accuracy of different algorithms,Accuracy
"['bass', 'work', 'chair', 'mass']","[9, 5, 6, 2]",Sales statistics for different items,Units sold
"['count', 'unity', 'test', 'bride', 'phone']","[8, 8, 6, 7, 2]",Most preferred objects,Number of People
"['island', 'bottom']","[5, 8]",Title,Values
"['fruit', 'west', 'sand']","[4, 7, 9]",Sales statistics for different items,Units sold
"['stairs', 'chair', 'work']","[9, 2, 8]",Sales statistics for different items,Units sold
"['bunk', 'sera', 'effect', 'get', 'cloud']","[4, 7, 7, 4, 9]",Title,Values
"['danger', 'realm']","[4, 3]",Most preferred objects,Number of People
"['forth', 'stone', 'care', 'chance', 'turn', 'factor', 'square', 'jungle']","[2, 5, 7, 9, 5, 3, 7, 1]",Accuracy of different algorithms,Accuracy
"['island', 'cheek', 'shell', 'talent', 'cut', 'level']","[2, 4, 3, 1, 6, 9]",Most preferred objects,Number of People
"['smoke', 'killer', 'beam', 'cannot', 'body', 'shell', 'north', 'glass']","[1, 6, 2, 1, 8, 5, 3, 7]",Sales statistics for different items,Units sold
"['entry', 'member']","[6, 5]",Most preferred objects,Number of People
"['look', 'blow', 'bomb', 'mode']","[8, 6, 2, 6]",Accuracy of different algorithms,Accuracy
"['salary', 'drift', 'scheme', 'jacket']","[6, 5, 1, 3]",Most preferred objects,Number of People
"['breath', 'stuff', 'handle', 'mercy']","[3, 3, 3, 5]",Title,Values
"['one', 'wage', 'size', 'driver', 'way', 'heat', 'yard']","[20, 80, 80, 60, 10, 40, 90]",Accuracy of different algorithms,Accuracy
"['grace', 'speech', 'space', 'legs', 'foam', 'draft', 'beard']","[7, 4, 9, 3, 2, 6, 5]",Most preferred objects,Number of People
"['appeal', 'sera', 'sky', 'habit', 'anyone', 'tale', 'profit']","[90, 90, 10, 80, 20, 90, 70]",Accuracy of different algorithms,Accuracy
"['owner', 'index', 'salary']","[60, 20, 80]",Title,Values
"['age', 'unity', 'yield']","[5, 4, 6]",Title,Values
"['pain', 'lesson', 'knife', 'farmer']","[7, 2, 5, 8]",Most preferred objects,Number of People
"['clouds', 'rise', 'trust', 'worth', 'peace', 'order', 'ocean']","[40, 60, 40, 30, 50, 70, 30]",Most preferred objects,Percent of People
"['error', 'list', 'soap', 'winter', 'notice']","[2, 7, 3, 5, 4]",Accuracy of different algorithms,Accuracy
"['cat', 'soil', 'wheel', 'rhythm', 'drink', 'chorus', 'blind']","[40, 90, 20, 10, 20, 30, 10]",Accuracy of different algorithms,Accuracy
"['strip', 'bay', 'cow', 'fellow', 'desire', 'right', 'verse', 'idea']","[10000, 1000000, 1000, 1000, 1000, 1000000, 100000000, 10000]",Title,Values
"['sheet', 'beam', 'design', 'cold']","[3, 7, 2, 3]",Accuracy of different algorithms,Accuracy
"['shock', 'award', 'story', 'team', 'wealth', 'clay', 'flesh']","[8, 6, 9, 9, 4, 2, 2]",Accuracy of different algorithms,Accuracy
"['lamp', 'origin', 'bowl', 'herd']","[6, 6, 7, 2]",Most preferred objects,Number of People
"['bottle', 'widow', 'cost', 'blue']","[10, 80, 60, 10]",Accuracy of different algorithms,Accuracy
"['merger', 'look', 'jet', 'chorus', 'cent']","[70, 70, 40, 80, 20]",Most preferred objects,Percent of People
"['total', 'cap', 'parade']","[9, 9, 2]",Title,Values
"['brass', 'reply', 'porch', 'volume', 'bomb', 'dirt']","[20, 90, 80, 80, 50, 20]",Title,Values
"['model', 'nobody', 'home', 'piece', 'making', 'while', 'tie', 'theme']","[5, 2, 5, 1, -3, 1, 2, 3]",Title,Values
"['wind', 'cut']","[1, 7]",Accuracy of different algorithms,Accuracy
"['roof', 'coach', 'mold']","[8, 4, 9]",Most preferred objects,Number of People
"['city', 'ten', 'firm', 'parade', 'cellar', 'mode', 'patent']","[4, 8, 7, 7, 1, 8, 7]",Accuracy of different algorithms,Accuracy
"['brush', 'wine', 'making', 'church']","[7, 4, 3, 1]",Most preferred objects,Number of People
"['favor', 'profit', 'herd', 'fear', 'host', 'grant']","[2, 7, 8, 2, 8, 2]",Title,Values
"['piano', 'trip', 'humor', 'agent']","[1, 1, 1, 3]",Most preferred objects,Number of People
"['lady', 'sheet', 'march', 'effort', 'system', 'policy']","[5, 8, 1, 5, 6, 4]",Sales statistics for different items,Units sold
"['room', 'age']","[8, 1]",Accuracy of different algorithms,Accuracy
"['volume', 'study', 'lamp', 'place', 'engine', 'war', 'suit', 'stake', 'life']","[9, 6, 5, 7, 6, 5, 4, 2, 1]",Sales statistics for different items,Units sold
"['cancer', 'figure']","[20, 20]",Accuracy of different algorithms,Accuracy
"['poem', 'crop', 'brain', 'event']","[10, 30, 90, 60]",Title,Values
"['herd', 'judge', 'host', 'film', 'bullet', 'room']","[2, 8, 6, 4, 3, 6]",Accuracy of different algorithms,Accuracy
"['sitter', 'rear', 'coast', 'bit', 'dinner', 'master', 'ship', 'excess', 'storm']","[1, 8, 9, 8, 7, 7, 8, 3, 2]",Accuracy of different algorithms,Accuracy
"['cloth', 'answer', 'jaw', 'top', 'age', 'doubt']","[5, 1, 5, 9, 8, 7]",Sales statistics for different items,Units sold
"['role', 'job', 'outfit', 'excuse']","[90, 10, 40, 50]",Title,Values
"['sex', 'fist', 'garage', 'smoke']","[1, 8, 8, 4]",Most preferred objects,Number of People
"['fly', 'gate']","[2, 9]",Most preferred objects,Number of People
"['sitter', 'tea', 'north', 'step', 'idea']","[1, 8, 7, 5, 4]",Title,Values
"['chorus', 'fit', 'impact', 'sewage', 'water', 'autumn']","[20, 70, 20, 80, 60, 40]",Most preferred objects,Percent of People
"['fan', 'count', 'belief']","[80, 90, 60]",Title,Values
"['stroke', 'club', 'critic']","[100000, 10000, 1000000]",Title,Values
"['wise', 'pain', 'voyage']","[9, 6, 3]",Most preferred objects,Number of People
"['help', 'slope', 'factor', 'floor', 'deck', 'sewage', 'luxury', 'hold']","[2, 8, 9, 9, 7, 4, 1, 9]",Sales statistics for different items,Units sold
"['fellow', 'sight', 'spite', 'merger', 'group']","[80, 40, 60, 90, 10]",Most preferred objects,Percent of People
"['credit', 'reason']","[8, 4]",Sales statistics for different items,Units sold
"['lawyer', 'saline']","[10000000, 10000000]",Title,Values
"['memory', 'fellow', 'bureau', 'joy']","[5, 7, 9, 6]",Sales statistics for different items,Units sold
"['figure', 'eye', 'pause', 'game', 'song']","[5, 7, 6, 7, 5]",Accuracy of different algorithms,Accuracy
"['fund', 'number', 'laugh', 'pack']","[4, 7, 1, 4]",Most preferred objects,Number of People
"['street', 'ocean']","[7, 8]",Most preferred objects,Number of People
"['day', 'hotel', 'shot']","[8, 3, 7]",Title,Values
"['series', 'guilt']","[8, 8]",Sales statistics for different items,Units sold
"['course', 'bottom', 'charge', 'sound']","[4, 2, 3, 8]",Sales statistics for different items,Units sold
"['blue', 'female', 'range', 'sight', 'top']","[8, 8, 4, 1, 8]",Title,Values
"['brick', 'angle']","[5, 2]",Sales statistics for different items,Units sold
"['defeat', 'pot', 'stand', 'chance', 'get', 'throat']","[80, 10, 30, 30, 60, 90]",Most preferred objects,Percent of People
"['jar', 'agent']","[60, 90]",Most preferred objects,Percent of People
"['fiber', 'store', 'joy', 'muscle', 'mess']","[8, 4, 4, 2, 2]",Title,Values
"['shade', 'share', 'fool', 'poetry', 'range', 'crash']","[6, 7, 2, 6, 3, -5]",Title,Values
"['chain', 'iodine', 'remark', 'report']","[30, 80, 50, 50]",Most preferred objects,Percent of People
"['party', 'rain', 'voting']","[3, 9, 1]",Most preferred objects,Number of People
"['mine', 'fury', 'snow', 'brief', 'trail', 'party']","[6, 1, 2, 9, 2, 5]",Accuracy of different algorithms,Accuracy
"['nobody', 'person', 'song', 'worry', 'index', 'radio']","[4, 7, 4, 6, 1, 2]",Sales statistics for different items,Units sold
"['file', 'race', 'share', 'voting']","[7, 8, 1, 1]",Most preferred objects,Number of People
"['desire', 'travel', 'kind', 'sample', 'skill', 'data']","[3, 1, 8, 3, 9, 3]",Accuracy of different algorithms,Accuracy
"['middle', 'touch', 'mud', 'plot']","[8, 5, 9, 4]",Title,Values
"['group', 'sin', 'poet', 'editor', 'voice']","[4, 6, 7, 2, 1]",Accuracy of different algorithms,Accuracy
"['barrel', 'bottom', 'stuff', 'call']","[7, 8, 7, 3]",Accuracy of different algorithms,Accuracy
"['camera', 'shock', 'escape', 'corps', 'patent']","[3, 3, 7, 2, 8]",Most preferred objects,Number of People
"['lesson', 'luck', 'warmth']","[6, 7, 9]",Most preferred objects,Number of People
